time,adxl_acceleration_x,adxl_acceleration_y,adxl_acceleration_z,mpl_altitude,mpu_acceleration_x,mpu_acceleration_y,mpu_acceleration_z,mpu_gyroscope_x,mpu_gyroscope_y,mpu_gyroscope_z,mpu_magnetometer_x,mpu_magnetometer_y,mpu_magnetometer_z
1605249389.9718,-3.6088,-31.5382,40.1288,3.0000,-0.0740,-0.2750,0.6640,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6100
1605249389.9941,-3.6481,-31.5774,40.1288,4.2501,-0.0740,-0.2730,0.6630,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6100
1605249390.0095,-3.6481,-31.5382,40.1288,0.7500,-0.0750,-0.2740,0.6580,28.9730,-33.8490,-14.2180,-6.8970,-9.7660,0.5490
1605249390.0513,-3.8442,-31.5382,40.1288,0.5000,-0.0710,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249390.0872,-3.8834,-31.5382,40.1288,-0.7500,-0.0750,-0.2760,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.5490
1605249390.1476,-3.7265,-31.6559,40.1288,0.8750,-0.0760,-0.2740,0.6620,29.1480,-35.0830,-11.6790,-6.9580,-9.8880,0.5490
1605249390.1958,-3.6481,-31.5382,40.1288,1.9375,-0.0760,-0.2730,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
1605249390.2275,-3.9619,-31.4990,40.1288,-1.1250,-0.0750,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249390.2582,-3.8834,-31.8520,40.1288,-1.1875,-0.0730,-0.2730,0.6600,31.0680,-35.9640,-12.8640,-6.8360,-9.8270,0.6710
1605249390.2910,-3.8834,-31.7735,40.1288,1.9375,-0.0730,-0.2770,0.6620,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6100
1605249390.3311,-3.6481,-31.4990,40.1288,-0.6250,-0.0750,-0.2750,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
1605249390.3746,-3.7658,-31.6166,40.1288,1.2500,-0.0760,-0.2720,0.6580,0.0000,0.0000,0.0000,-6.9580,-9.8270,0.6710
1605249390.4131,-3.6481,-31.5382,40.1288,1.6875,-0.0750,-0.2720,0.6600,28.9730,-34.9060,-13.2030,-6.8970,-9.8270,0.6710
1605249390.4423,-3.5304,-31.5382,40.1288,-2.1875,-0.0760,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6100
1605249390.4656,-3.5304,-31.5382,40.1288,-0.0625,-0.0760,-0.2740,0.6580,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6710
1605249390.4967,-3.8050,-31.5774,40.1288,-1.5000,-0.0760,-0.2750,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249390.5287,-3.8050,-31.7343,40.1288,-0.6250,-0.0750,-0.2750,0.6610,29.6720,-35.6120,-12.8640,-6.8970,-9.8270,0.6710
1605249390.5563,-3.6481,-31.5382,40.1288,-1.1875,-0.0740,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6100
1605249390.5918,-3.7265,-31.4990,40.1288,-1.7500,-0.0750,-0.2750,0.6610,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
1605249390.6158,-3.7265,-31.5774,40.1288,1.1875,-0.0760,-0.2750,0.6560,0.0000,0.0000,0.0000,-6.8360,-9.7050,0.7930
1605249390.6424,-3.6088,-31.5774,40.1288,-0.5625,-0.0750,-0.2730,0.6600,30.1950,-34.0250,-13.7110,-6.8970,-9.8270,0.6100
1605249390.6761,-3.6873,-31.5774,40.1288,0.6250,-0.0730,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6710
1605249390.7069,-3.6481,-31.7735,40.1288,2.9375,-0.0750,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6100
1605249390.7375,-3.6481,-31.5382,40.1288,0.2500,-0.0740,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
